id,smiles,source
mol_001,c1ccc2c(c1)cc1ccc3ccccc3c1O2,seed
mol_002,O=C(O)c1ccccc1O,seed
mol_003,CC(=O)Nc1ccc(O)cc1,seed
mol_004,c1ccc(-c2ccccn2)nc1,seed
mol_005,CC1=CC(=O)c2ccccc2C1=O,seed
mol_006,O=C1CCc2ccccc2N1,seed
mol_007,c1ccc2[nH]ccc2c1,seed
mol_008,CC(=O)Oc1ccccc1C(=O)O,seed
mol_009,O=c1[nH]c2ccccc2o1,seed
mol_010,c1ccc(-c2ccccc2)cc1,seed
mol_011,CC(C)Cc1ccc(cc1)C(C)C(=O)O,seed
mol_012,O=C(O)c1ccc(cc1)N1C(=O)CCC1=O,seed
mol_013,CC1(C)CC(=O)c2ccccc2O1,seed
mol_014,c1ccc(cc1)C(=O)Nc1ccc(cc1)F,seed
mol_015,O=C(O)c1ccc(cc1)c1ccc(cc1)C(=O)O,seed
mol_016,CC(=O)Nc1ccc(cc1)S(=O)(=O)N,seed
mol_017,O=c1c2ccccc2oc2cc(O)cc(O)c12,seed
mol_018,CC(C)(C)c1ccc(O)cc1,seed
mol_019,c1ccc2c(c1)[nH]c1ccccc12,seed
mol_020,O=C(O)c1cc(O)ccc1O,seed
mol_021,c1ccc(cc1)N1C(=O)SC(=C1)C(=O)O,seed
mol_022,CC(=O)Nc1ccc(cc1)OCC(O)CNC(C)C,seed
mol_023,O=C(O)c1ccc(cc1)C(F)(F)F,seed
mol_024,CC1=NN(C(=O)C1)c1ccccc1,seed
mol_025,c1ccc(cc1)c1nc2ccccc2o1,seed
mol_026,O=C1NC(=O)c2ccccc2N1,seed
mol_027,CC(=O)Nc1nnc(s1)S(=O)(=O)N,seed
mol_028,c1ccc(cc1)C(=O)N1CCCC1,seed
mol_029,O=C(O)c1cccc(c1)NC(=O)c1ccccc1,seed
mol_030,CC1CCC(CC1)N1C(=O)CCC1=O,seed
mol_031,c1cc2ccc(cc2[nH]1)C(=O)NCC(O)=O,seed
mol_032,O=C(O)c1ccc(cc1)Oc1ccccc1,seed
mol_033,CC(C)NCC(O)c1ccc(O)c(O)c1,seed
mol_034,O=c1oc2ccccc2cc1-c1ccccc1,seed
mol_035,CC(=O)Nc1ccc(cc1)C(=O)CC(O)=O,seed
mol_036,c1ccc(cc1)S(=O)(=O)Nc1ccccn1,seed
mol_037,O=C1CCc2ccc(O)cc2N1,seed
mol_038,CC1=CC=C(C=C1)S(=O)(=O)Nc1ccccn1,seed
mol_039,O=C(O)c1ccc(cc1)NC(=O)CCl,seed
mol_040,c1ccc(cc1)C(=O)Nc1ccc(cc1)Cl,seed
mol_041,CC(C)(C)NC(=O)c1cc(ccc1OC)Br,seed
mol_042,O=C(O)c1ccccc1NC(=O)c1ccc(cc1)F,seed
mol_043,CC1=CC(=NO1)c1ccc(cc1)S(=O)(=O)N,seed
mol_044,O=C(O)c1cccc(NC(=O)c2ccco2)c1,seed
mol_045,c1ccc(cc1)Oc1ccc(cc1)C(=O)N,seed
mol_046,CC(=O)Nc1ccc2c(c1)oc1ccccc12,seed
mol_047,O=C(O)c1ccc(cc1)C(=O)Nc1ccccc1,seed
mol_048,CC1=CC=C(O1)C(=O)Nc1ccc(cc1)F,seed
mol_049,O=c1[nH]c2ccc(Br)cc2c(=O)[nH]1,seed
mol_050,CC(C)NCC(O)c1ccc(O)cc1,seed
mol_051,c1ccc(cc1)C(=O)O,seed
mol_052,O=C(O)c1cccnc1,seed
mol_053,CC(=O)c1ccccc1,seed
mol_054,c1ccc2occc2c1,seed
mol_055,O=C1CCCCC1,seed
mol_056,c1ccc(cc1)N,seed
mol_057,CC(=O)Nc1ccccc1,seed
mol_058,O=C(O)CCc1ccccc1,seed
mol_059,c1ccc(cc1)O,seed
mol_060,CC(C)Nc1ccccc1,seed
mol_061,O=C(O)c1cccnc1O,seed
mol_062,c1ccc2ncccc2c1,seed
mol_063,CC(=O)OCC,seed
mol_064,O=C(O)c1ccncc1,seed
mol_065,c1cc(ccc1F)N,seed
mol_066,CC(C)(C)OC(=O)NC,seed
mol_067,O=C(O)c1ccc(Cl)cc1,seed
mol_068,c1ccc(cc1)CC(=O)O,seed
mol_069,CC(=O)Nc1ccc(F)cc1,seed
mol_070,O=C(O)c1ccc(Br)cc1,seed
mol_071,c1ccc(cc1)F,seed
mol_072,CC(=O)Nc1ccc(Cl)cc1,seed
mol_073,O=C(O)c1ccccc1F,seed
mol_074,c1ccc(cc1)Cl,seed
mol_075,CC(=O)N1CCCC1,seed
mol_076,O=C1CCCN1,seed
mol_077,c1ccc(cc1)Br,seed
mol_078,CC(=O)N1CCNCC1,seed
mol_079,O=C(O)c1ccc(F)cc1,seed
mol_080,c1ccc(cc1)C(F)(F)F,seed
mol_081,CC(=O)c1ccc(O)cc1,seed
mol_082,O=C(O)CCC(=O)O,seed
mol_083,c1ccc(cc1)OC,seed
mol_084,CC(=O)Nc1ccc(CC)cc1,seed
mol_085,O=C(O)c1cccc(O)c1,seed
mol_086,c1ccc(cc1)CC,seed
mol_087,CC(=O)Nc1ccc(C)cc1,seed
mol_088,O=C(O)c1ccc(C)cc1,seed
mol_089,c1ccc(cc1)C,seed
mol_090,CC(=O)N1CCC(O)CC1,seed
mol_091,O=C1CCC(=O)N1,seed
mol_092,c1ccc(cc1)S(=O)(=O)N,seed
mol_093,CC(=O)Nc1ccc(N)cc1,seed
mol_094,O=C(O)c1ccc(N)cc1,seed
mol_095,c1ccc(cc1)NC(=O)C,seed
mol_096,CC(=O)Nc1ccc(O)c(O)c1,seed
mol_097,O=C(O)c1ccc(O)c(O)c1,seed
mol_098,c1ccc(O)c(O)c1,seed
mol_099,CC(=O)c1ccc(N)cc1,seed
mol_100,O=C(O)c1ccccc1N,seed
