reactants,products,yield,catalyst
CCO.CC(=O)Cl,CC(=O)OCC,0.85,DMAP
c1ccccc1.Br,BrC(Br)c1ccccc1,0.72,AIBN
CC(C)=O.NC1CCCCC1,CC(C)=NC1CCCCC1,0.91,TiCl4
O=C(O)c1ccccc1.CO,O=C(OC)c1ccccc1,0.95,H2SO4
c1ccccc1N.ClC(=O)CCl,O=C(CCl)Nc1ccccc1,0.78,TEA
O=Cc1ccccc1.NC(C)C,CC(C)N=Cc1ccccc1,0.88,NaBH4
O=C(O)CCC(=O)O.CCO,OC(=O)CCC(=O)OCC,0.82,cat HCl
c1ccccc1C#N.NN,c1ccccc1C1=NN=NN1,0.65,ZnBr2
CCOC(=O)CC(=O)OCC.CC=O,CCOC(=O)C(=CC)C(=O)OCC,0.76,piperidine
c1ccccc1C(=O)Cl.NC1CCCCC1,O=C(NC1CCCCC1)c1ccccc1,0.93,TEA
Fc1ccccc1.CN1CCNCC1,Fc1ccc(N2CCN(C)CC2)cc1,0.71,K2CO3
BrCc1ccccc1.NaN3,N(=[N+]=[N-])Cc1ccccc1,0.96,DMF
O=C(O)c1ccccc1O.COC(=O)CCl,O=C(OCc1ccccc1)c1ccccc1O,0.68,KI
CCCCBr.NC1CCCCC1,CCCCNC1CCCCC1,0.84,K2CO3
c1cc2ccccc2s1.Br,BrCc1cc2ccccc2s1,0.63,NBS
O=Cc1ccco1.CC(C)=O,O=C(C=Cc1ccco1)C(C)C,0.79,NaOH
NC(=O)c1ccccc1.ClC(=O)c1ccccc1,O=C(NC(=O)c1ccccc1)c1ccccc1,0.87,pyridine
CC(C)Br.OC1CCCCC1,CC(C)OC1CCCCC1,0.74,NaH
O=C(O)c1ccccn1.CO,COC(=O)c1ccccn1,0.92,SOCl2
O=[N+]([O-])C=C.Br,BrC(Br)C([N+](=O)[O-])Br,0.55,AIBr
NC1CC1.N=C=O,O=C(NC1CC1)NC1CC1,0.81,TEA
c1ccncc1.H2O2,O=n1ccccc1,0.97,AcOH
CC#C.N3,CC1=CN=NN1,0.88,CuI
O=C(O)C1CC1.CO,O=C(OC)C1CC1,0.93,H2SO4
c1ccc2c(c1)cccc2.Br2,BrC1=CC=C2C=CC=CC2=C1,0.71,Fe
COc1ccccc1O.CC(=O)Cl,COc1ccccc1OC(C)=O,0.85,TEA
NC(=N)N.CCC(=O)Cl,CCC(=O)NC(=N)N,0.67,NaOH
c1ccsc1.ClC(=O)CCl,O=C(CCl)c1ccsc1,0.73,AlCl3
CC(C)(C)OC(=O)N.CC#N,CC(C)(C)OC(=O)NC(=N)C,0.58,HgCl2
O=Cc1ccc(O)c(OC)c1.CH3I,COc1cc(C=O)ccc1OC,0.91,K2CO3
C=CC#N.NN,NNCCCN,0.82,EtOH
c1ccccc1C(=O)C.CC(=O)OOC(C)=O,CC(=O)OC(C)c1ccccc1(C)OC(C)=O,0.61,H2SO4
O=C1CCCC1.NC1CCCCC1,O=C1CCCC1=NC1CCCCC1,0.76,TiCl4
c1ccccc1P(c1ccccc1)c1ccccc1.Br2,BrP(Br)(c1ccccc1)c1ccccc1,0.89,CCl4
CC(C)=C.CC(=O)Cl,CC(=O)C(C)=C(C)C,0.72,ZnCl2
NC1CCNC1=O.ClC(=O)OC(C)(C)C,CC(C)(C)OC(=O)NC1CCNC1=O,0.94,DMAP
O=Cc1ccc([N+](=O)[O-])cc1.NH2OH,ON=Cc1ccc([N+](=O)[O-])cc1,0.79,pyridine
COc1ccccc1.CC(=O)Cl,COc1ccc(C(C)=O)cc1,0.83,AlCl3
c1ccccc1O.CC(Br)C(=O)OCC,CC(OC1=CC=CC=C1)C(=O)OCC,0.75,K2CO3
CCOC(=O)C#N.NC(C)=O,CCOC(=O)C1=CC(C)=NC(N)=C1C#N,0.63,piperidine
CC(C)(C)Br.NaN=[N+]=[N-],CC(C)(C)N=[N+]=[N-],0.91,DMF
c1ccccc1S.Br2,BrSc1ccccc1,0.78,CCl4
O=C(O)c1ccccn1.SOCl2,O=C(Cl)c1ccccn1,0.95,DMF cat
CCCC#N.H2O,CCCC(=N)O,0.56,H2SO4 cat
c1ccccc1N=C=O.CCO,O=C(NCCO)c1ccccc1,0.87,TEA
O=[N+]([O-])c1ccccc1.Zn,O=[N+]([O-])c1ccccc1N,0.72,NH4Cl
CC(=O)CC(=O)C.NH2OH,CC1=NOC(C)=C1C,0.84,NaOH
c1ccccc1CC#N.H2O2,NC(=O)Cc1ccccc1,0.66,K2CO3
COC(=O)C=C.CN,CNCCC(=O)OC,0.91,MeOH
Cc1ccccc1N.ClC(=O)c1ccccc1,Cc1ccccc1NC(=O)c1ccccc1,0.88,TEA
